id;obs_id;obs_name
75880184;3378753,477431;barnabywalters,carnifex
75880191;3378753;barnabywalters
75880197;3378753;barnabywalters
75880221;474425,463097;pearmonger,richyfourtytwo
75880234;3378753,3471352,1485790,305;barnabywalters,gijwans,cpu,vitalfranz
75880237;3378753,988618,57863,477431;barnabywalters,samuel_messner,sdjbrown,carnifex
75880247;3378753,2626695;barnabywalters,brothernorbert
75880251;3378753;barnabywalters
75880252;3378753,2626695,477431;barnabywalters,brothernorbert,carnifex
75880262;3378753,1731739,2329740,477431;barnabywalters,frank007,karimstrohriegl,carnifex
75880271;3378753;barnabywalters
75880290;3378753,2438113,1642196;barnabywalters,pastabaum,michalsloviak
75880292;3378753,477431;barnabywalters,carnifex
75880293;3378753,2438113,1642196;barnabywalters,pastabaum,michalsloviak
75880303;3378753,2438113,2818064,1642196;barnabywalters,pastabaum,floriolusfloriolus,michalsloviak
75880304;3378753,2438113,1642196;barnabywalters,pastabaum,michalsloviak
75880307;3378753,2438113,1642196;barnabywalters,pastabaum,michalsloviak
75880320;3378753,4235899;barnabywalters,ninano
75880322;3378753,2438113,4323624;barnabywalters,pastabaum,hederahelix
75880436;3462954,2438113,2626695;franzgraf,pastabaum,brothernorbert
75880818;474425,399948;pearmonger,susanna_h
75880956;474425,2438113;pearmonger,pastabaum
75881018;1842195,4354090,1842195;hyacinthus,oakhornlet,hyacinthus
75881131;474425;pearmonger
75881182;1842195,164142,2483447,2438113,2626695,1842195;hyacinthus,msolcorreo,katrin_simon,pastabaum,brothernorbert,hyacinthus
75881281;3462954,2438113,2435044;franzgraf,pastabaum,igor_kuzmin
75881304;1842195,1842195,1842195,2626695;hyacinthus,hyacinthus,hyacinthus,brothernorbert
75881375;474425,740345,180811,740345;pearmonger,tusee,borisb,tusee
75881427;1842195,2438113,1842195,1842195,2626695,477431;hyacinthus,pastabaum,hyacinthus,hyacinthus,brothernorbert,carnifex
75881598;1842195,2438113,250566,1842195;hyacinthus,pastabaum,else,hyacinthus
75881629;3462954;franzgraf
75881703;1842195,2438113,2626695,1842195,1842195,1842195;hyacinthus,pastabaum,brothernorbert,hyacinthus,hyacinthus,hyacinthus
75881805;1842195,2438113;hyacinthus,pastabaum
75881850;3462954,2438113,2626695;franzgraf,pastabaum,brothernorbert
75881882;3462954,2438113,2626695;franzgraf,pastabaum,brothernorbert
75881946;1842195,2438113;hyacinthus,pastabaum
75882066;3462954,2438113;franzgraf,pastabaum
75882082;1842195,3666055,1842195,1842195,155951;hyacinthus,cleeb,hyacinthus,hyacinthus,tom-kirschey
75882333;3462954,2626695,4304167;franzgraf,brothernorbert,jangraf
75882356;1842195,4354090,2438113,477431;hyacinthus,oakhornlet,pastabaum,carnifex
75882451;1842195,2438113;hyacinthus,pastabaum
75882617;1842195,1261247,2626695,1842195;hyacinthus,epsilon,brothernorbert,hyacinthus
75882820;1842195,2626695,1842195;hyacinthus,brothernorbert,hyacinthus
75882984;1842195,2483447;hyacinthus,katrin_simon
75883090;1842195,2438113,2626695,1842195;hyacinthus,pastabaum,brothernorbert,hyacinthus
75883277;1842195,2438113,2626695,1842195;hyacinthus,pastabaum,brothernorbert,hyacinthus
75883396;1842195,2438113;hyacinthus,pastabaum
75883609;3462954,1261247,2626695;franzgraf,epsilon,brothernorbert
75883959;1842195,2438113,2626695,1842195;hyacinthus,pastabaum,brothernorbert,hyacinthus
75884161;1842195,2438113,2626695,1842195;hyacinthus,pastabaum,brothernorbert,hyacinthus
75884258;3462954,2438113,2626695;franzgraf,pastabaum,brothernorbert
75884299;1842195,2438113;hyacinthus,pastabaum
75884367;4270945;eremiphilia
75884439;474425,2283905;pearmonger,vbe01
75884499;1842195;hyacinthus
75884670;3462954,2626695,2438113;franzgraf,brothernorbert,pastabaum
75884703;1842195,2032730,4020155;hyacinthus,waldgeist,xespok
75884835;1842195,2032730,1842195,477431;hyacinthus,waldgeist,hyacinthus,carnifex
75884889;2467347,3462954,3462954,4235899;gertiseiser,franzgraf,franzgraf,ninano
75885036;1842195,1479221,477431;hyacinthus,mondseeirrsee,carnifex
75885115;4270945,2438113;eremiphilia,pastabaum
75885234;1842195,1842195,2626695;hyacinthus,hyacinthus,brothernorbert
75885406;1842195,2438113,2626695,1842195;hyacinthus,pastabaum,brothernorbert,hyacinthus
75885466;2467347;gertiseiser
75885603;1842195;hyacinthus
75885851;1842195,2886668,1842195;hyacinthus,frank375,hyacinthus
75885925;2467347,1261247,2626695;gertiseiser,epsilon,brothernorbert
75886341;474425,2626695,2616302;pearmonger,brothernorbert,christiangilli
75886962;2467347,2626695,1005840,2438113,477431;gertiseiser,brothernorbert,bobwardell,pastabaum,carnifex
75887166;4270945,2626695,2438113;eremiphilia,brothernorbert,pastabaum
75887388;474425,684477,2426747,474425;pearmonger,sobam,bernhardhausdorf,pearmonger
75887439;2814429,2886668;drosophila,frank375
75887479;2467347;gertiseiser
75887916;2467347;gertiseiser
75888020;474425,785914,1365088;pearmonger,pdubois,bbinsecte
75888263;474425,1422753;pearmonger,cloclo53
75888538;474425,57863;pearmonger,sdjbrown
75888550;2467347;gertiseiser
75889413;4270945,2626695;eremiphilia,brothernorbert
75889508;2467347,2626695,477431;gertiseiser,brothernorbert,carnifex
75889956;2467347,1261247,2626695,477431;gertiseiser,epsilon,brothernorbert,carnifex
75890353;2467347,2626695,477431;gertiseiser,brothernorbert,carnifex
75890664;2467347,899878;gertiseiser,irmi
75891086;2467347,1261247,2626695;gertiseiser,epsilon,brothernorbert
75891732;2467347,2626695;gertiseiser,brothernorbert
75892153;2467347,477431;gertiseiser,carnifex
75892829;2467347,2626695;gertiseiser,brothernorbert
75894359;2467347;gertiseiser
75895229;2467347,4235899;gertiseiser,ninano
75895767;2467347,2435044;gertiseiser,igor_kuzmin
75896372;2438113,984355;pastabaum,wini56
75896377;2438113,984355,1985181;pastabaum,wini56,trichocereus
75896378;2438113,1261247;pastabaum,epsilon
75896380;2438113,1261247,1985181;pastabaum,epsilon,trichocereus
75896392;2438113,1261247,1985181;pastabaum,epsilon,trichocereus
75896393;2438113,2626695,1985181;pastabaum,brothernorbert,trichocereus
75896394;2438113,2626695;pastabaum,brothernorbert
75896404;2438113,1261247,1985181;pastabaum,epsilon,trichocereus
